tsunami,magnitude,depth,latitude,longitude,Year,Month
0,5.9,73.0,40.1385,141.706,2024,4
0,5.3,35.0,24.3178,142.875,2024,3
0,5.6,20.0,28.4231,130.134,2024,3
0,5.6,44.0,37.1035,141.143,2024,3
0,5.4,45.09,29.1913,141.553,2024,1
0,5.9,10.0,37.8706,137.708,2024,1
0,5.4,6.0,37.2326,136.788,2024,1
0,5.6,10.0,37.5249,137.408,2024,1
0,5.5,10.0,37.5575,137.384,2024,1
0,5.6,10.0,37.2969,136.946,2024,1
0,6.2,10.0,37.1959,136.87,2024,1
1,7.5,10.0,37.4976,137.242,2024,1
0,5.8,10.0,37.5067,137.239,2024,1
0,5.8,42.0,41.168,142.247,2023,11
0,5.9,31.0,24.0602,122.646,2023,10
0,5.7,13.261,25.1583,125.542,2023,10
0,5.3,10.0,29.7869,140.026,2023,10
0,5.4,10.0,29.758,140.021,2023,10
0,5.5,10.0,30.1289,140.022,2023,10
0,6.1,10.0,30.044,140.005,2023,10
0,5.7,10.0,30.0809,139.98,2023,10
0,5.7,10.0,30.0036,139.831,2023,10
0,5.3,10.0,29.9804,139.887,2023,10
